,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,No_of_fund_curr,AUM,sales_curr,sales_12M_2018,redemption_curr,redemption_12M,new_Fund_added_12M_2018,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MULTIPLE,aum_P_MF,aum_P_SMA
5461,-0.19937074861645024,-0.08429388575440928,-0.20784294346352924,-0.5739767686322398,0.18476441907543537,-0.3734146921143319,-0.09581716286737026,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.10590121088683463,-0.4157776643217589,-0.02921339719381517,-0.07668295950974013,-0.058532892679329235,-0.022409919826655706,-0.06541202898735761,-0.05619448685599466
6440,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.3734146921143319,-0.10009518259725951,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.04256776822057745,-0.07566192324081929,-0.05828230754175621,-0.022409919826655706,-0.07050892635967708,-0.05619448685599466
6706,-0.19937074861645024,-0.09325188995696822,-0.20784294346352924,-0.5739767686322398,-0.22148525966405402,-0.3734146921143319,-0.017471653978306044,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.1462465518287567,-0.4157776643217589,-0.029158228935981845,0.013908801614313824,-0.05828230754175621,-0.022409919826655706,0.027929994566152087,-0.05619448685599466
5167,-0.18943682317773178,-0.0977308920582477,-0.11575030612881901,-0.15308050572840992,-0.6277349384035434,-0.3734146921143319,-0.08930663307987333,-0.0850831945341062,-0.12915871180147157,0.09139451153971327,0.15562015665219692,0.4370902276657272,-0.027245576010775537,-0.0789598129951342,-0.00898557761316233,-0.022409919826655706,-0.057655285385999906,-0.05619448685599466
7878,-0.19937074861645024,-0.09325188995696822,-0.20784294346352924,-0.5739767686322398,-0.22148525966405402,1.8654749387732252,-0.9422837964394875,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15516853637180358,-0.4157776643217589,-1.843668711567428,-0.6650041648518624,3.6119303270084115,-1.5076045718553839,-0.30952696092719495,-3.1598083614161347
3260,1.4496608742108126,0.027681166777577555,-0.023657668794108775,4.476778386213719,2.2160128127728824,3.1448404421375433,0.05897174002459501,-0.07600262971112662,-0.007533707293929213,0.08178401963783989,-0.06375069197496745,2.9956939036281853,0.30728279403399966,-0.08479894099568346,-0.05828230754175621,-0.0070767997404731905,0.1235941603202018,-0.0984648326026068
5489,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.3734146921143319,-0.10223724548304809,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.08475111407642447,-0.05828230754175621,-0.022409919826655706,-0.114653094266013,-0.05619448685599466
4687,-0.07022971791311036,0.2516312718415512,-0.20784294346352924,0.26781575717541994,2.622262491512372,-0.6932560679554115,-0.11972764885680261,-0.0850831945341062,-0.14091989711472247,0.09126279136648782,0.039893290034971114,0.4370902276657272,-0.056442114958508496,-0.0790454635895218,-0.13320709606720993,-0.022409919826655706,-0.09389934342374377,-0.05619448685599466
6543,-0.13976719598413953,0.05903418148653387,-0.20784294346352924,1.1096082829830796,1.8097631340333928,3.1448404421375433,3.6244553292969086,-0.0850831945341062,-0.13004248008740293,0.05178168530932786,0.10303296119279684,0.4370902276657272,8.321905925328712,-0.20160960598961986,2.3454761616452067,-0.7275424462627631,-0.08111185528965476,6.499124371754548
749,0.41653262858409373,0.1038242024993286,0.2526202432100219,2.372297071694569,1.4035134552939035,2.1853163146143046,0.12600244732733418,-0.07841389435082784,-0.009140673709858077,-0.4335111118063086,-0.22104531133914013,0.4370902276657272,0.014652110523098102,0.10456591571399025,-0.0033302567557540403,0.5216610969980664,0.19886720760222748,-0.05619448685599466
2864,0.13838271629997712,-0.0036718479313787578,-0.20784294346352924,-0.15308050572840992,-0.22148525966405402,0.2662680595678273,0.16265648257702753,-0.0845064098563965,-0.14259170734654855,0.08197082595088362,0.13831665022757345,-0.4157776643217589,-0.03954559477889242,0.22867201955428598,-0.05828230754175621,-0.022409919826655706,0.19606352253351933,0.019393319178368208
4506,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09820967065591067,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.0314017155407649,-0.0789598129951342,-0.05828230754175621,-0.022409919826655706,-0.0682624989315393,-0.05619448685599466
4878,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09830872231531429,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.08017864831953718,-0.05828230754175621,-0.022409919826655706,-0.068380510575808,-0.05619448685599466
7005,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.053573316273252305,-0.083537778677194,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.06298653028980492,-0.05828230754175621,-0.022409919826655706,-0.05078218504920668,-0.05619448685599466
