,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name
4512,4454384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4813,1576620,16008021516,Independent Dealer,IBD,"MML Investors Services, LLC"
4513,4426172,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,5.0,451707.535,2322.295,0.0,0.0,-16064.71,0.0,2322.295,0.0,4292,9000166,90001660136,Independent Dealer,NACS,Wells Fargo Advisors
4514,4402058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134500.0,1.0,3905,1948520,17993108275,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4515,85101113733709148416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7158,1424101,85202130463442973445,Independent Dealer,IBD,Investacorp Inc.
4516,4494375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.96,0.0,0.0,0.0,0.0,0.0,5624.11,6.0,5658,1698368,16983680562,Independent Dealer,IBD,"Hornor, Townsend & Kent, Inc."
4517,4494715,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,523297.46,0.0,0.0,0.0,-102983.63,0.0,22069.94,0.0,5662,1282578,10761181763754316839,Independent Dealer,IBD,Cetera Advisor Networks LLC
4518,0307714,42.0,23.0,10.0,4.0,7.0,6.0,3.0,2.0,4.0,2.0,3.0,1.0,8.0,1.0,0.0,0.0,287535.187591,-24688.31,-366020.930171,1.0,245864.300799,0.0,1441,1948520,85202122175200786754,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4519,85101171064009116773,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12680.0,0.0,159.0,0.0,-370.0,0.0,10965.0,2.0,7738,3004299,30042990167,Independent Dealer,IBD,"Sagepoint Financial, Inc."
4520,85102110965283675268,15.0,7.0,9.0,0.0,9.0,4.0,7.0,0.0,4.0,3.0,3.0,0.0,16.0,4.0,802629.46,0.0,194510.0,-6783.96,-32037.54,2.0,171215.05,2.0,7796,0022885,85202122613789600635,Independent Dealer,IBD,LPL Financial LLC
4521,85102132724913032579,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,17765.59,0.0,1183.99,0.0,0.0,0.0,0.0,0.0,8080,1901181,85102132724909028747,Independent Dealer,IBD,"Avantax Investment Services, Inc."
4522,4478996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371,0003672,85202152784308583452,Independent Dealer,IBD,"Securities Service Network, Inc."
4523,0024207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,103,9000166,90001660038,Independent Dealer,NACS,Wells Fargo Advisors
4524,85202171455580866976,3.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,37406.26,0.0,210.915,-306.825,-1265.215,0.0,3638.15,1.0,10005,0001194,85202153145214086485,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4525,00872163603934082522,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4323.17,0.0,4323.17,0.0,0.0,1.0,0.0,0.0,5949,0001194,00011941898,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4526,85202161864292887085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,459.94,0.0,30000.01,0.0,-29540.07,0.0,0.0,0.0,9924,1948520,19485201047,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4527,85102122465912035260,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7292.6,0.0,0.0,0.0,7971,1036815,85201121785303574753,Independent Dealer,IBD,"Woodbury Financial Services, Inc."
